City,Longitude,Latitude,Country,Continent
Rangoon,96.15,16.8,Myanmar,Asia
Windhoek,17.083333,-22.56666667,Namibia,Africa
Yaren,166.920867,-0.5477,Nauru,Australia
Kathmandu,85.316667,27.71666667,Nepal,Asia
Amsterdam,4.916667,52.35,Netherlands,Europe
Noumea,166.45,-22.26666667,New Caledonia,Australia
Wellington,174.783333,-41.3,New Zealand,Australia
Managua,-86.25,12.13333333,Nicaragua,Central America
Niamey,2.116667,13.51666667,Niger,Africa
Abuja,7.533333,9.083333333,Nigeria,Africa
Alofi,-169.916667,-19.01666667,Niue,Australia
Kingston,167.966667,-29.05,Norfolk Island,Australia
Pyongyang,125.75,39.01666667,North Korea,Asia
North Nicosia,33.366667,35.183333,Northern Cyprus,Europe
Saipan,145.75,15.2,Northern Mariana Islands,Australia
Oslo,10.75,59.91666667,Norway,Europe
Muscat,58.583333,23.61666667,Oman,Asia
Islamabad,73.05,33.68333333,Pakistan,Asia
Melekeok,134.633333,7.483333333,Palau,Australia
Jerusalem,35.233333,31.76666667,Palestine,Asia
Panama City,-79.533333,8.966666667,Panama,Central America
Port Moresby,147.183333,-9.45,Papua New Guinea,Australia
Asuncion,-57.666667,-25.26666667,Paraguay,South America
Lima,-77.05,-12.05,Peru,South America
Manila,120.966667,14.6,Philippines,Asia
Adamstown,-130.083333,-25.06666667,Pitcairn Islands,Australia
Warsaw,21,52.25,Poland,Europe
Lisbon,-9.133333,38.71666667,Portugal,Europe
San Juan,-66.116667,18.46666667,Puerto Rico,North America
Doha,51.533333,25.28333333,Qatar,Asia
Brazzaville,15.283333,-4.25,Republic of Congo,Africa
Bucharest,26.1,44.43333333,Romania,Europe
Moscow,37.6,55.75,Russia,Europe
Kigali,30.05,-1.95,Rwanda,Africa
Gustavia,-62.85,17.88333333,Saint Barthelemy,North America
Jamestown,-5.716667,-15.93333333,Saint Helena,Africa
Basseterre,-62.716667,17.3,Saint Kitts and Nevis,North America
Castries,-61,14,Saint Lucia,North America
Marigot,-63.0822,18.0731,Saint Martin,North America
Saint-Pierre,-56.183333,46.76666667,Saint Pierre and Miquelon,Central America
Kingstown,-61.216667,13.13333333,Saint Vincent and the Grenadines,Central America
Apia,-171.766667,-13.81666667,Samoa,Australia
San Marino,12.416667,43.93333333,San Marino,Europe
Sao Tome,6.733333,0.333333333,Sao Tome and Principe,Africa
Riyadh,46.7,24.65,Saudi Arabia,Asia
Dakar,-17.633333,14.73333333,Senegal,Africa
Belgrade,20.5,44.83333333,Serbia,Europe
Victoria,55.45,-4.616666667,Seychelles,Africa
Freetown,-13.233333,8.483333333,Sierra Leone,Africa
Singapore,103.85,1.283333333,Singapore,Asia
Philipsburg,-63.033333,18.01666667,Sint Maarten,North America
Bratislava,17.116667,48.15,Slovakia,Europe
Ljubljana,14.516667,46.05,Slovenia,Europe
Honiara,159.95,-9.433333333,Solomon Islands,Australia
Mogadishu,45.333333,2.066666667,Somalia,Africa
Hargeisa,44.05,9.55,Somaliland,Africa
Pretoria,28.216667,-25.7,South Africa,Africa
King Edward Point,-36.5,-54.283333,South Georgia and South Sandwich Islands,Antarctica
Seoul,126.983333,37.55,South Korea,Asia
Juba,31.616667,4.85,South Sudan,Africa
Madrid,-3.683333,40.4,Spain,Europe
Colombo,79.833333,6.916666667,Sri Lanka,Asia
Khartoum,32.533333,15.6,Sudan,Africa
Paramaribo,-55.166667,5.833333333,Suriname,South America
Longyearbyen,15.633333,78.21666667,Svalbard,Europe
Mbabane,31.133333,-26.31666667,Swaziland,Africa
Stockholm,18.05,59.33333333,Sweden,Europe
Bern,7.466667,46.91666667,Switzerland,Europe
Damascus,36.3,33.5,Syria,Asia
Taipei,121.516667,25.03333333,Taiwan,Asia
Dushanbe,68.766667,38.55,Tajikistan,Asia
Dodoma,35.74121839,-5.969982638,Tanzania,Africa
Bangkok,100.516667,13.75,Thailand,Asia
Banjul,-16.566667,13.45,The Gambia,Africa
Dili,125.6,-8.583333333,East Timor,Asia
Lome,1.216667,6.116666667,Togo,Africa
Atafu,-171.833333,-9.166667,Tokelau,Australia
Nuku’alofa,-175.2,-21.13333333,Tonga,Australia
Port of Spain,-61.516667,10.65,Trinidad and Tobago,North America
Tunis,10.183333,36.8,Tunisia,Africa
Ankara,32.866667,39.93333333,Turkey,Europe
Ashgabat,58.383333,37.95,Turkmenistan,Asia
Grand Turk,-71.133333,21.46666667,Turks and Caicos Islands,North America
Funafuti,179.216667,-8.516666667,Tuvalu,Australia
Kampala,32.55,0.316666667,Uganda,Africa
Kyiv,30.516667,50.43333333,Ukraine,Europe
Abu Dhabi,54.366667,24.46666667,United Arab Emirates,Asia
London,-0.083333,51.5,United Kingdom,Europe
"Washington, D.C.",-77,38.883333,United States,Central America
Montevideo,-56.166667,-34.85,Uruguay,South America
Charlotte Amalie,-64.933333,18.35,US Virgin Islands,North America
Tashkent,69.25,41.31666667,Uzbekistan,Asia
Port-Vila,168.316667,-17.73333333,Vanuatu,Australia
Vatican City,12.45,41.9,Vatican City,Europe
Caracas,-66.866667,10.48333333,Venezuela,South America
Hanoi,105.85,21.03333333,Vietnam,Asia
Mata-Utu,-171.933333,-13.95,Wallis and Futuna,Australia
Sanaa,44.2,15.35,Yemen,Asia
Lusaka,28.283333,-15.41666667,Zambia,Africa
Harare,31.033333,-17.81666667,Zimbabwe,Africa
